UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,151,844,28604
113200i,1132,i,Forest Nurseries and Gathering of Forest Products,3,164,14649
113210a,11321,a,Forest Nurseries and Gathering of Forest Products,154,1008,43253
113210b,11321,b,Forest Nurseries and Gathering of Forest Products,115,169,7182
113210c,11321,c,Forest Nurseries and Gathering of Forest Products,20,127,4824
113210d,11321,d,Forest Nurseries and Gathering of Forest Products,9,119,3112
113210e,11321,e,Forest Nurseries and Gathering of Forest Products,144,415,15118
113210f,11321,f,Forest Nurseries and Gathering of Forest Products,5,307,10675
113210h,11321,h,Forest Nurseries and Gathering of Forest Products,151,844,28604
113210i,11321,i,Forest Nurseries and Gathering of Forest Products,3,164,14649
113300a,1133,a,Logging,7650,47273,2322817
113300b,1133,b,Logging,4669,8249,351846
113300c,1133,c,Logging,1653,10923,457714
113300d,1133,d,Logging,874,11367,527586
113300e,1133,e,Logging,7196,30539,1337146
113300f,1133,f,Logging,420,13146,696408
113300g,1133,g,Logging,19,1301,79304
113300h,1133,h,Logging,7635,44986,2112858
113300i,1133,i,Logging,15,2287,209959
113310a,11331,a,Logging,7650,47273,2322817
113310b,11331,b,Logging,4669,8249,351846
113310c,11331,c,Logging,1653,10923,457714
113310d,11331,d,Logging,874,11367,527586
113310e,11331,e,Logging,7196,30539,1337146
113310f,11331,f,Logging,420,13146,696408
113310g,11331,g,Logging,19,1301,79304
113310h,11331,h,Logging,7635,44986,2112858
113310i,11331,i,Logging,15,2287,209959
114000a,114,a,"Fishing, Hunting and Trapping",2925,7316,497523
114000b,114,b,"Fishing, Hunting and Trapping",2688,2291,147105
114000c,114,c,"Fishing, Hunting and Trapping",121,794,33968
114000d,114,d,"Fishing, Hunting and Trapping",48,667,29907
114000e,114,e,"Fishing, Hunting and Trapping",2857,3752,210980
114000f,114,f,"Fishing, Hunting and Trapping",52,1793,122344
114000g,114,g,"Fishing, Hunting and Trapping",11,1509,119569
114000h,114,h,"Fishing, Hunting and Trapping",2920,7054,452893
114000i,114,i,"Fishing, Hunting and Trapping",5,262,44630
114100a,1141,a,Fishing,2552,5637,431166
114100b,1141,b,Fishing,2400,1898,132062
114100c,1141,c,Fishing,74,479,22247
114100d,1141,d,Fishing,30,427,17968
114100e,1141,e,Fishing,2504,2804,172277
114100f,1141,f,Fishing,36,1326,103598
114100g,1141,g,Fishing,9,1256,111688
114100h,1141,h,Fishing,2549,5386,387563
114100i,1141,i,Fishing,3,251,43603
114110a,11411,a,Fishing,2552,5637,431166
114110b,11411,b,Fishing,2400,1898,132062
114110c,11411,c,Fishing,74,479,22247
114110d,11411,d,Fishing,30,427,17968
114110e,11411,e,Fishing,2504,2804,172277
114110f,11411,f,Fishing,36,1326,103598
114110g,11411,g,Fishing,9,1256,111688
114110h,11411,h,Fishing,2549,5386,387563
114110i,11411,i,Fishing,3,251,43603
114111a,114111,a,Finfish Fishing,1421,3517,302592
114111b,114111,b,Finfish Fishing,1321,1017,80441
114111c,114111,c,Finfish Fishing,49,311,16035
114111d,114111,d,Finfish Fishing,23,326,12717
114111e,114111,e,Finfish Fishing,1393,1654,109193
114111f,114111,f,Finfish Fishing,18,624,58002
114111g,114111,g,Finfish Fishing,7,988,91794
114111h,114111,h,Finfish Fishing,1418,3266,258989
114111i,114111,i,Finfish Fishing,3,251,43603
114112a,114112,a,Shellfish Fishing,1054,1823,100606
114112b,114112,b,Shellfish Fishing,1011,804,47367
114112c,114112,c,Shellfish Fishing,19,126,4704
114112d,114112,d,Shellfish Fishing,7,101,5251
114112e,114112,e,Shellfish Fishing,1037,1031,57322
114112f,114112,f,Shellfish Fishing,15,524,23390
114112h,114112,h,Shellfish Fishing,1054,1823,100606
114119a,114119,a,Other Marine Fishing,77,297,27968
114119b,114119,b,Other Marine Fishing,68,77,4254
114119c,114119,c,Other Marine Fishing,6,42,1508
114119e,114119,e,Other Marine Fishing,74,119,5762
114119f,114119,f,Other Marine Fishing,3,178,22206
114119h,114119,h,Other Marine Fishing,77,297,27968
114200a,1142,a,Hunting and Trapping,373,1679,66357
114200b,1142,b,Hunting and Trapping,288,393,15043
114200c,1142,c,Hunting and Trapping,47,315,11721
114200d,1142,d,Hunting and Trapping,18,240,11939
114200e,1142,e,Hunting and Trapping,353,948,38703
114200f,1142,f,Hunting and Trapping,16,467,18746
114200h,1142,h,Hunting and Trapping,371,1668,65330
114210a,11421,a,Hunting and Trapping,373,1679,66357
114210b,11421,b,Hunting and Trapping,288,393,15043
114210c,11421,c,Hunting and Trapping,47,315,11721
114210d,11421,d,Hunting and Trapping,18,240,11939
114210e,11421,e,Hunting and Trapping,353,948,38703
114210f,11421,f,Hunting and Trapping,16,467,18746
114210h,11421,h,Hunting and Trapping,371,1668,65330
115000a,115,a,Support Activities for Agriculture and Forestry,10962,105323,4531937
115000b,115,b,Support Activities for Agriculture and Forestry,7778,11505,547865
115000c,115,c,Support Activities for Agriculture and Forestry,1525,9828,415196
115000d,115,d,Support Activities for Agriculture and Forestry,749,9920,470385
115000e,115,e,Support Activities for Agriculture and Forestry,10052,31253,1433446
115000f,115,f,Support Activities for Agriculture and Forestry,669,26173,1155498
115000g,115,g,Support Activities for Agriculture and Forestry,174,25193,1013119
115000h,115,h,Support Activities for Agriculture and Forestry,10895,82619,3602063
115000i,115,i,Support Activities for Agriculture and Forestry,67,22704,929874
115100a,1151,a,Support Activities for Crop Production,4687,70902,3108370
115100b,1151,b,Support Activities for Crop Production,2948,4164,281496
115100c,1151,c,Support Activities for Crop Production,725,4708,245217
115100d,1151,d,Support Activities for Crop Production,408,5357,288563
115100e,1151,e,Support Activities for Crop Production,4081,14229,815276
115100f,1151,f,Support Activities for Crop Production,428,17377,777818
115100g,1151,g,Support Activities for Crop Production,131,18661,720221
115100h,1151,h,Support Activities for Crop Production,4640,50267,2313315
115100i,1151,i,Support Activities for Crop Production,47,20635,795055
115110a,11511,a,Support Activities for Crop Production,4687,70902,3108370
115110b,11511,b,Support Activities for Crop Production,2948,4164,281496
115110c,11511,c,Support Activities for Crop Production,725,4708,245217
115110d,11511,d,Support Activities for Crop Production,408,5357,288563
115110e,11511,e,Support Activities for Crop Production,4081,14229,815276
115110f,11511,f,Support Activities for Crop Production,428,17377,777818
115110g,11511,g,Support Activities for Crop Production,131,18661,720221
115110h,11511,h,Support Activities for Crop Production,4640,50267,2313315
115110i,11511,i,Support Activities for Crop Production,47,20635,795055
115111a,115111,a,Cotton Ginning,201,2680,128597
115111b,115111,b,Cotton Ginning,58,113,10609
115111c,115111,c,Cotton Ginning,60,398,31320
115111d,115111,d,Cotton Ginning,42,557,32637
115111e,115111,e,Cotton Ginning,160,1068,74566
115111f,115111,f,Cotton Ginning,34,1000,46070
115111g,115111,g,Cotton Ginning,4,164,1541
115111h,115111,h,Cotton Ginning,198,2232,122177
115111i,115111,i,Cotton Ginning,3,448,6420
115112a,115112,a,"Soil Preparation, Planting, and Cultivating",2201,10834,581279
115112b,115112,b,"Soil Preparation, Planting, and Cultivating",1577,2237,130982
115112c,115112,c,"Soil Preparation, Planting, and Cultivating",355,2245,110273
115112d,115112,d,"Soil Preparation, Planting, and Cultivating",150,1894,98518
115112e,115112,e,"Soil Preparation, Planting, and Cultivating",2082,6376,339773
115112f,115112,f,"Soil Preparation, Planting, and Cultivating",95,3100,159157
115112g,115112,g,"Soil Preparation, Planting, and Cultivating",19,1190,61631
115112h,115112,h,"Soil Preparation, Planting, and Cultivating",2196,10666,560561
115112i,115112,i,"Soil Preparation, Planting, and Cultivating",5,168,20718
115113a,115113,a,"Crop Harvesting, Primarily by Machine",349,2896,136826
115113b,115113,b,"Crop Harvesting, Primarily by Machine",249,318,17687
115113c,115113,c,"Crop Harvesting, Primarily by Machine",46,293,15868
115113d,115113,d,"Crop Harvesting, Primarily by Machine",28,394,18564
115113e,115113,e,"Crop Harvesting, Primarily by Machine",323,1005,52119
115113f,115113,f,"Crop Harvesting, Primarily by Machine",22,948,45871
115113g,115113,g,"Crop Harvesting, Primarily by Machine",3,116,7020
115113h,115113,h,"Crop Harvesting, Primarily by Machine",348,2069,105010
115114a,115114,a,Postharvest Crop Activities (except Cotton Ginning),857,34268,1455496
115114b,115114,b,Postharvest Crop Activities (except Cotton Ginning),347,504,44479
115114c,115114,c,Postharvest Crop Activities (except Cotton Ginning),147,996,48459
115114d,115114,d,Postharvest Crop Activities (except Cotton Ginning),94,1240,67308
115114e,115114,e,Postharvest Crop Activities (except Cotton Ginning),588,2740,160246
115114f,115114,f,Postharvest Crop Activities (except Cotton Ginning),163,7560,337497
115114g,115114,g,Postharvest Crop Activities (except Cotton Ginning),71,11261,421578
115114h,115114,h,Postharvest Crop Activities (except Cotton Ginning),822,21561,919321
115114i,115114,i,Postharvest Crop Activities (except Cotton Ginning),35,12707,536175
115115a,115115,a,Farm Labor Contractors and Crew Leaders,476,13767,478030
115115b,115115,b,Farm Labor Contractors and Crew Leaders,262,350,38672
115115c,115115,c,Farm Labor Contractors and Crew Leaders,60,412,17768
115115d,115115,d,Farm Labor Contractors and Crew Leaders,49,645,34811
115115e,115115,e,Farm Labor Contractors and Crew Leaders,371,1407,91251
115115f,115115,f,Farm Labor Contractors and Crew Leaders,76,3421,121704
115115g,115115,g,Farm Labor Contractors and Crew Leaders,22,4289,136919
115115h,115115,h,Farm Labor Contractors and Crew Leaders,469,9117,349874
115115i,115115,i,Farm Labor Contractors and Crew Leaders,7,4650,128156
115116a,115116,a,Farm Management Services,617,6457,328142
115116b,115116,b,Farm Management Services,456,642,39067
115116c,115116,c,Farm Management Services,57,364,21529
115116d,115116,d,Farm Management Services,45,627,36725
115116e,115116,e,Farm Management Services,558,1633,97321
115116f,115116,f,Farm Management Services,41,1348,67519
115116g,115116,g,Farm Management Services,14,1641,91532
115116h,115116,h,Farm Management Services,613,4622,256372
115116i,115116,i,Farm Management Services,4,1835,71770
115200a,1152,a,Support Activities for Animal Production,4613,21416,788231
115200b,1152,b,Support Activities for Animal Production,3633,5634,172817
115200c,1152,c,Support Activities for Animal Production,585,3730,104875
115200d,1152,d,Support Activities for Animal Production,238,3067,95542
115200e,1152,e,Support Activities for Animal Production,4456,12431,373234
115200f,1152,f,Support Activities for Animal Production,118,4014,146767
115200g,1152,g,Support Activities for Animal Production,24,3206,159463
115200h,1152,h,Support Activities for Animal Production,4598,19651,679464
115200i,1152,i,Support Activities for Animal Production,15,1765,108767
115210a,11521,a,Support Activities for Animal Production,4613,21416,788231
115210b,11521,b,Support Activities for Animal Production,3633,5634,172817
115210c,11521,c,Support Activities for Animal Production,585,3730,104875
115210d,11521,d,Support Activities for Animal Production,238,3067,95542
115210e,11521,e,Support Activities for Animal Production,4456,12431,373234
115210f,11521,f,Support Activities for Animal Production,118,4014,146767
115210g,11521,g,Support Activities for Animal Production,24,3206,159463
115210h,11521,h,Support Activities for Animal Production,4598,19651,679464
115210i,11521,i,Support Activities for Animal Production,15,1765,108767
115300a,1153,a,Support Activities for Forestry,1666,13005,635336
115300b,1153,b,Support Activities for Forestry,1197,1707,93552
115300c,1153,c,Support Activities for Forestry,215,1390,65104
115300d,1153,d,Support Activities for Forestry,103,1496,86280
115300e,1153,e,Support Activities for Forestry,1515,4593,244936
115300f,1153,f,Support Activities for Forestry,124,4782,230913
115300g,1153,g,Support Activities for Forestry,21,3326,133435
115300h,1153,h,Support Activities for Forestry,1660,12701,609284
115300i,1153,i,Support Activities for Forestry,6,304,26052
115310a,11531,a,Support Activities for Forestry,1666,13005,635336
115310b,11531,b,Support Activities for Forestry,1197,1707,93552
115310c,11531,c,Support Activities for Forestry,215,1390,65104
115310d,11531,d,Support Activities for Forestry,103,1496,86280
115310e,11531,e,Support Activities for Forestry,1515,4593,244936
115310f,11531,f,Support Activities for Forestry,124,4782,230913
115310g,11531,g,Support Activities for Forestry,21,3326,133435
115310h,11531,h,Support Activities for Forestry,1660,12701,609284
115310i,11531,i,Support Activities for Forestry,6,304,26052
210000a,21,a,"Mining, Quarrying, and Oil and Gas Extraction",18630,626740,59454107
210000b,21,b,"Mining, Quarrying, and Oil and Gas Extraction",10427,16523,1187518
210000c,21,c,"Mining, Quarrying, and Oil and Gas Extraction",2706,17895,1116462
210000d,21,d,"Mining, Quarrying, and Oil and Gas Extraction",1999,26857,1913554
210000e,21,e,"Mining, Quarrying, and Oil and Gas Extraction",15132,61275,4217534
210000f,21,f,"Mining, Quarrying, and Oil and Gas Extraction",2378,93174,7375843
210000g,21,g,"Mining, Quarrying, and Oil and Gas Extraction",758,122388,11455630
210000h,21,h,"Mining, Quarrying, and Oil and Gas Extraction",18268,276837,23049007
210000i,21,i,"Mining, Quarrying, and Oil and Gas Extraction",362,349903,36405100
211000a,211,a,Oil and Gas Extraction,4874,108128,15911790
211000b,211,b,Oil and Gas Extraction,3298,5450,331521
211000c,211,c,Oil and Gas Extraction,671,4339,321434
211000d,211,d,Oil and Gas Extraction,372,4786,443521
211000e,211,e,Oil and Gas Extraction,4341,14575,1096476
211000f,211,f,Oil and Gas Extraction,317,11745,1618815
211000g,211,g,Oil and Gas Extraction,122,20705,3339396
211000h,211,h,Oil and Gas Extraction,4780,47025,6054687
211000i,211,i,Oil and Gas Extraction,94,61103,9857103
211100a,2111,a,Oil and Gas Extraction,4874,108128,15911790
211100b,2111,b,Oil and Gas Extraction,3298,5450,331521
211100c,2111,c,Oil and Gas Extraction,671,4339,321434
211100d,2111,d,Oil and Gas Extraction,372,4786,443521
211100e,2111,e,Oil and Gas Extraction,4341,14575,1096476
211100f,2111,f,Oil and Gas Extraction,317,11745,1618815
211100g,2111,g,Oil and Gas Extraction,122,20705,3339396
211100h,2111,h,Oil and Gas Extraction,4780,47025,6054687
211100i,2111,i,Oil and Gas Extraction,94,61103,9857103
211120a,21112,a,Crude Petroleum Extraction,4250,75596,11333144
211120b,21112,b,Crude Petroleum Extraction,2956,4852,279897
211120c,21112,c,Crude Petroleum Extraction,564,3623,267601
211120d,21112,d,Crude Petroleum Extraction,305,3939,360548
211120e,21112,e,Crude Petroleum Extraction,3825,12414,908046
211120f,21112,f,Crude Petroleum Extraction,260,9305,1283253
211120g,21112,g,Crude Petroleum Extraction,91,14438,2453000
211120h,21112,h,Crude Petroleum Extraction,4176,36157,4644299
211120i,21112,i,Crude Petroleum Extraction,74,39439,6688845
211130a,21113,a,Natural Gas Extraction,700,32532,4578646
211130b,21113,b,Natural Gas Extraction,344,598,51624
211130c,21113,c,Natural Gas Extraction,108,716,53833
211130d,21113,d,Natural Gas Extraction,71,847,82973
211130e,21113,e,Natural Gas Extraction,523,2161,188430
211130f,21113,f,Natural Gas Extraction,67,2440,335562
211130g,21113,g,Natural Gas Extraction,46,6267,886396
211130h,21113,h,Natural Gas Extraction,636,10868,1410388
211130i,21113,i,Natural Gas Extraction,64,21664,3168258
212000a,212,a,Mining (except Oil and Gas),3284,177656,14194044
212000b,212,b,Mining (except Oil and Gas),1236,2093,181159
212000c,212,c,Mining (except Oil and Gas),567,3754,200402
212000d,212,d,Mining (except Oil and Gas),501,6743,415371
212000e,212,e,Mining (except Oil and Gas),2304,12590,796932
212000f,212,f,Mining (except Oil and Gas),584,20286,1371637
212000g,212,g,Mining (except Oil and Gas),236,29498,2035737
212000h,212,h,Mining (except Oil and Gas),3124,62374,4204306
212000i,212,i,Mining (except Oil and Gas),160,115282,9989738
212100a,2121,a,Coal Mining,362,50288,4278394
212100b,2121,b,Coal Mining,111,184,46658
212100c,2121,c,Coal Mining,54,374,18988
212100d,2121,d,Coal Mining,59,806,42129
212100e,2121,e,Coal Mining,224,1364,107775
212100f,2121,f,Coal Mining,70,2789,213891
212100g,2121,g,Coal Mining,36,7173,513833
212100h,2121,h,Coal Mining,330,11326,835499
212100i,2121,i,Coal Mining,32,38962,3442895
212110a,21211,a,Coal Mining,362,50288,4278394
212110b,21211,b,Coal Mining,111,184,46658
212110c,21211,c,Coal Mining,54,374,18988
212110d,21211,d,Coal Mining,59,806,42129
212110e,21211,e,Coal Mining,224,1364,107775
212110f,21211,f,Coal Mining,70,2789,213891
212110g,21211,g,Coal Mining,36,7173,513833
212110h,21211,h,Coal Mining,330,11326,835499
212110i,21211,i,Coal Mining,32,38962,3442895
212111a,212111,a,Bituminous Coal and Lignite Surface Mining,221,21018,1804807
212111b,212111,b,Bituminous Coal and Lignite Surface Mining,72,111,20231
212111c,212111,c,Bituminous Coal and Lignite Surface Mining,35,236,11746
212111d,212111,d,Bituminous Coal and Lignite Surface Mining,32,434,21660
212111e,212111,e,Bituminous Coal and Lignite Surface Mining,139,781,53637
212111f,212111,f,Bituminous Coal and Lignite Surface Mining,42,1715,128549
212111g,212111,g,Bituminous Coal and Lignite Surface Mining,16,2314,154120
212111h,212111,h,Bituminous Coal and Lignite Surface Mining,197,4810,336306
212111i,212111,i,Bituminous Coal and Lignite Surface Mining,24,16208,1468501
212112a,212112,a,Bituminous Coal Underground Mining,112,28410,2420351
212112b,212112,b,Bituminous Coal Underground Mining,18,36,23847
212112c,212112,c,Bituminous Coal Underground Mining,6,39,2840
212112d,212112,d,Bituminous Coal Underground Mining,21,297,17626
212112e,212112,e,Bituminous Coal Underground Mining,45,372,44313
212112f,212112,f,Bituminous Coal Underground Mining,25,974,80158
212112g,212112,g,Bituminous Coal Underground Mining,21,4310,321486
212112h,212112,h,Bituminous Coal Underground Mining,91,5656,445957
212112i,212112,i,Bituminous Coal Underground Mining,21,22754,1974394
212113a,212113,a,Anthracite Mining,50,860,53236
212113b,212113,b,Anthracite Mining,21,37,2580
212113c,212113,c,Anthracite Mining,14,99,4402
212113d,212113,d,Anthracite Mining,6,75,2843
212113e,212113,e,Anthracite Mining,41,211,9825
212113f,212113,f,Anthracite Mining,3,100,5184
212113g,212113,g,Anthracite Mining,6,549,38227
212113h,212113,h,Anthracite Mining,50,860,53236
212200a,2122,a,Metal Ore Mining,229,37671,3477052
212200b,2122,b,Metal Ore Mining,114,146,19750
212200c,2122,c,Metal Ore Mining,26,160,12403
212200d,2122,d,Metal Ore Mining,24,335,40179
212200e,2122,e,Metal Ore Mining,164,641,72332
212200f,2122,f,Metal Ore Mining,26,968,93152
212200g,2122,g,Metal Ore Mining,19,4719,385242
212200h,2122,h,Metal Ore Mining,209,6328,550726
212200i,2122,i,Metal Ore Mining,20,31343,2926326
212210a,21221,a,Iron Ore Mining,12,4877,486098
212210e,21221,e,Iron Ore Mining,5,43,3676
212210f,21221,f,Iron Ore Mining,4,120,8052
212210h,21221,h,Iron Ore Mining,9,163,11728
212210i,21221,i,Iron Ore Mining,3,4714,474370
212220a,21222,a,Gold Ore and Silver Ore Mining,151,15451,1596960
212220b,21222,b,Gold Ore and Silver Ore Mining,91,110,14035
212220c,21222,c,Gold Ore and Silver Ore Mining,20,128,9940
212220d,21222,d,Gold Ore and Silver Ore Mining,15,199,24745
212220e,21222,e,Gold Ore and Silver Ore Mining,126,437,48720
212220f,21222,f,Gold Ore and Silver Ore Mining,10,462,41108
212220g,21222,g,Gold Ore and Silver Ore Mining,10,2715,246140
212220h,21222,h,Gold Ore and Silver Ore Mining,146,3614,335968
212220i,21222,i,Gold Ore and Silver Ore Mining,5,11837,1260992
212221a,212221,a,Gold Ore Mining,141,14434,1494582
212221b,212221,b,Gold Ore Mining,87,105,13382
212221c,212221,c,Gold Ore Mining,18,110,7677
212221d,212221,d,Gold Ore Mining,12,157,20335
212221e,212221,e,Gold Ore Mining,117,372,41394
212221f,212221,f,Gold Ore Mining,10,462,41108
212221g,212221,g,Gold Ore Mining,9,2478,231284
212221h,212221,h,Gold Ore Mining,136,3312,313786
212221i,212221,i,Gold Ore Mining,5,11122,1180796
212222a,212222,a,Silver Ore Mining,12,1017,102378
212222b,212222,b,Silver Ore Mining,4,5,653
212222d,212222,d,Silver Ore Mining,3,42,4410
212222e,212222,e,Silver Ore Mining,9,65,7326
212222h,212222,h,Silver Ore Mining,10,302,22182
212230a,21223,a,"Copper, Nickel, Lead, and Zinc Mining",32,14367,1122398
212230b,21223,b,"Copper, Nickel, Lead, and Zinc Mining",8,9,1274
212230d,21223,d,"Copper, Nickel, Lead, and Zinc Mining",3,58,7965
212230e,21223,e,"Copper, Nickel, Lead, and Zinc Mining",11,67,9239
212230f,21223,f,"Copper, Nickel, Lead, and Zinc Mining",5,137,21578
212230g,21223,g,"Copper, Nickel, Lead, and Zinc Mining",6,1611,109029
212230h,21223,h,"Copper, Nickel, Lead, and Zinc Mining",22,1815,139846
212230i,21223,i,"Copper, Nickel, Lead, and Zinc Mining",10,12552,982552
212290a,21229,a,Other Metal Ore Mining,37,2976,271596
212290b,21229,b,Other Metal Ore Mining,13,21,2550
212290c,21229,c,Other Metal Ore Mining,5,27,2145
212290d,21229,d,Other Metal Ore Mining,4,46,6002
212290e,21229,e,Other Metal Ore Mining,22,94,10697
212290f,21229,f,Other Metal Ore Mining,7,249,22414
212290g,21229,g,Other Metal Ore Mining,4,393,30073
212290h,21229,h,Other Metal Ore Mining,33,736,63184
212290i,21229,i,Other Metal Ore Mining,4,2240,208412
212291a,212291,a,Uranium-Radium-Vanadium Ore Mining,13,241,22917
212291b,212291,b,Uranium-Radium-Vanadium Ore Mining,4,6,204
212291e,212291,e,Uranium-Radium-Vanadium Ore Mining,7,33,3858
212291f,212291,f,Uranium-Radium-Vanadium Ore Mining,4,157,13324
212291h,212291,h,Uranium-Radium-Vanadium Ore Mining,12,239,22893
212299a,212299,a,All Other Metal Ore Mining,24,2735,248679
212299b,212299,b,All Other Metal Ore Mining,9,15,2346
212299c,212299,c,All Other Metal Ore Mining,4,22,1970
212299e,212299,e,All Other Metal Ore Mining,15,61,6839
212299f,212299,f,All Other Metal Ore Mining,3,92,9090
212299g,212299,g,All Other Metal Ore Mining,3,344,24362
212299h,212299,h,All Other Metal Ore Mining,21,497,40291
212299i,212299,i,All Other Metal Ore Mining,3,2238,208388
212300a,2123,a,Nonmetallic Mineral Mining and Quarrying,2702,89697,6438598
212300b,2123,b,Nonmetallic Mineral Mining and Quarrying,1012,1763,114751
212300c,2123,c,Nonmetallic Mineral Mining and Quarrying,487,3220,169011
212300d,2123,d,Nonmetallic Mineral Mining and Quarrying,418,5602,333063
212300e,2123,e,Nonmetallic Mineral Mining and Quarrying,1917,10585,616825
212300f,2123,f,Nonmetallic Mineral Mining and Quarrying,489,16529,1064594
212300g,2123,g,Nonmetallic Mineral Mining and Quarrying,181,17606,1136662
212300h,2123,h,Nonmetallic Mineral Mining and Quarrying,2587,44720,2818081
212300i,2123,i,Nonmetallic Mineral Mining and Quarrying,115,44977,3620517
212310a,21231,a,Stone Mining and Quarrying,1101,46145,3326538
212310b,21231,b,Stone Mining and Quarrying,326,581,37528
212310c,21231,c,Stone Mining and Quarrying,209,1400,70153
212310d,21231,d,Stone Mining and Quarrying,186,2503,139420
212310e,21231,e,Stone Mining and Quarrying,721,4484,247101
212310f,21231,f,Stone Mining and Quarrying,226,7422,475156
212310g,21231,g,Stone Mining and Quarrying,93,8262,521716
212310h,21231,h,Stone Mining and Quarrying,1040,20168,1243973
212310i,21231,i,Stone Mining and Quarrying,61,25977,2082565
212311a,212311,a,Dimension Stone Mining and Quarrying,258,3583,171731
212311b,212311,b,Dimension Stone Mining and Quarrying,123,189,11878
212311c,212311,c,Dimension Stone Mining and Quarrying,45,307,14631
212311d,212311,d,Dimension Stone Mining and Quarrying,38,481,22663
212311e,212311,e,Dimension Stone Mining and Quarrying,206,977,49172
212311f,212311,f,Dimension Stone Mining and Quarrying,37,1222,53863
212311g,212311,g,Dimension Stone Mining and Quarrying,9,734,31950
212311h,212311,h,Dimension Stone Mining and Quarrying,252,2933,134985
212311i,212311,i,Dimension Stone Mining and Quarrying,6,650,36746
212312a,212312,a,Crushed and Broken Limestone Mining and Quarrying,539,29831,2280766
212312b,212312,b,Crushed and Broken Limestone Mining and Quarrying,98,194,13163
212312c,212312,c,Crushed and Broken Limestone Mining and Quarrying,94,624,32360
212312d,212312,d,Crushed and Broken Limestone Mining and Quarrying,104,1436,82520
212312e,212312,e,Crushed and Broken Limestone Mining and Quarrying,296,2254,128043
212312f,212312,f,Crushed and Broken Limestone Mining and Quarrying,137,4470,292175
212312g,212312,g,Crushed and Broken Limestone Mining and Quarrying,58,4938,325164
212312h,212312,h,Crushed and Broken Limestone Mining and Quarrying,491,11662,745382
212312i,212312,i,Crushed and Broken Limestone Mining and Quarrying,48,18169,1535384
212313a,212313,a,Crushed and Broken Granite Mining and Quarrying,82,5818,397876
212313b,212313,b,Crushed and Broken Granite Mining and Quarrying,14,36,1972
212313c,212313,c,Crushed and Broken Granite Mining and Quarrying,19,135,6561
212313d,212313,d,Crushed and Broken Granite Mining and Quarrying,6,84,4560
212313e,212313,e,Crushed and Broken Granite Mining and Quarrying,39,255,13093
212313f,212313,f,Crushed and Broken Granite Mining and Quarrying,17,664,43204
212313g,212313,g,Crushed and Broken Granite Mining and Quarrying,14,719,50808
212313h,212313,h,Crushed and Broken Granite Mining and Quarrying,70,1638,107105
212313i,212313,i,Crushed and Broken Granite Mining and Quarrying,12,4180,290771
212319a,212319,a,Other Crushed and Broken Stone Mining and Quarrying,284,6913,476165
