UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll,Receipts
115116b,115116,b,Farm Management Services,439,652,36625,201315
115116c,115116,c,Farm Management Services,61,389,19415,104758
115116d,115116,d,Farm Management Services,41,532,26910,107989
115116e,115116,e,Farm Management Services,541,1573,82950,414062
115116f,115116,f,Farm Management Services,39,1338,66122,266665
115116g,115116,g,Farm Management Services,13,1412,76740,312983
115116h,115116,h,Farm Management Services,593,4323,225812,993710
115116i,115116,i,Farm Management Services,4,1227,38146,140937
115200a,1152,a,Support Activities for Animal Production,4670,20623,718421,2821600
115200b,1152,b,Support Activities for Animal Production,3727,5615,159570,836099
115200c,1152,c,Support Activities for Animal Production,585,3822,100852,382970
115200d,1152,d,Support Activities for Animal Production,212,2769,85349,284834
115200e,1152,e,Support Activities for Animal Production,4524,12206,345771,1503903
115200f,1152,f,Support Activities for Animal Production,109,3879,133209,396228
115200g,1152,g,Support Activities for Animal Production,19,2727,139956,513013
115200h,1152,h,Support Activities for Animal Production,4652,18812,618936,2413144
115200i,1152,i,Support Activities for Animal Production,18,1811,99485,408456
115210a,11521,a,Support Activities for Animal Production,4670,20623,718421,2821600
115210b,11521,b,Support Activities for Animal Production,3727,5615,159570,836099
115210c,11521,c,Support Activities for Animal Production,585,3822,100852,382970
115210d,11521,d,Support Activities for Animal Production,212,2769,85349,284834
115210e,11521,e,Support Activities for Animal Production,4524,12206,345771,1503903
115210f,11521,f,Support Activities for Animal Production,109,3879,133209,396228
115210g,11521,g,Support Activities for Animal Production,19,2727,139956,513013
115210h,11521,h,Support Activities for Animal Production,4652,18812,618936,2413144
115210i,11521,i,Support Activities for Animal Production,18,1811,99485,408456
115300a,1153,a,Support Activities for Forestry,1688,12445,603494,1922397
115300b,1153,b,Support Activities for Forestry,1219,1659,112550,542518
115300c,1153,c,Support Activities for Forestry,228,1452,78042,260841
115300d,1153,d,Support Activities for Forestry,93,1276,62447,182908
115300e,1153,e,Support Activities for Forestry,1540,4387,253039,986267
115300f,1153,f,Support Activities for Forestry,120,4649,214180,574182
115300g,1153,g,Support Activities for Forestry,21,3128,115581,291840
115300h,1153,h,Support Activities for Forestry,1681,12164,582800,1852289
115300i,1153,i,Support Activities for Forestry,7,281,20694,70108
115310a,11531,a,Support Activities for Forestry,1688,12445,603494,1922397
115310b,11531,b,Support Activities for Forestry,1219,1659,112550,542518
115310c,11531,c,Support Activities for Forestry,228,1452,78042,260841
115310d,11531,d,Support Activities for Forestry,93,1276,62447,182908
115310e,11531,e,Support Activities for Forestry,1540,4387,253039,986267
115310f,11531,f,Support Activities for Forestry,120,4649,214180,574182
115310g,11531,g,Support Activities for Forestry,21,3128,115581,291840
115310h,11531,h,Support Activities for Forestry,1681,12164,582800,1852289
115310i,11531,i,Support Activities for Forestry,7,281,20694,70108
210000a,21,a,"Mining, Quarrying, and Oil and Gas Extraction",19080,578098,50594998,403726501
210000b,21,b,"Mining, Quarrying, and Oil and Gas Extraction",10808,16788,1142220,6049023
210000c,21,c,"Mining, Quarrying, and Oil and Gas Extraction",2909,19066,1147327,5525463
210000d,21,d,"Mining, Quarrying, and Oil and Gas Extraction",2091,28171,1896367,8553378
210000e,21,e,"Mining, Quarrying, and Oil and Gas Extraction",15808,64025,4185914,20127864
210000f,21,f,"Mining, Quarrying, and Oil and Gas Extraction",2276,86829,6628465,34409038
210000g,21,g,"Mining, Quarrying, and Oil and Gas Extraction",636,93513,8465717,53176675
210000h,21,h,"Mining, Quarrying, and Oil and Gas Extraction",18720,244367,19280096,107713577
210000i,21,i,"Mining, Quarrying, and Oil and Gas Extraction",360,333731,31314902,296012924
211000a,211,a,Oil and Gas Extraction,5121,108985,14055178,230177662
211000b,211,b,Oil and Gas Extraction,3473,5736,368007,3383500
211000c,211,c,Oil and Gas Extraction,723,4672,325247,2574117
211000d,211,d,Oil and Gas Extraction,369,4796,454425,3652786
211000e,211,e,Oil and Gas Extraction,4565,15204,1147679,9610403
211000f,211,f,Oil and Gas Extraction,349,12237,1465345,16145112
211000g,211,g,Oil and Gas Extraction,108,17282,2476135,30189025
211000h,211,h,Oil and Gas Extraction,5022,44723,5089159,55944540
211000i,211,i,Oil and Gas Extraction,99,64262,8966019,174233122
211100a,2111,a,Oil and Gas Extraction,5121,108985,14055178,230177662
211100b,2111,b,Oil and Gas Extraction,3473,5736,368007,3383500
211100c,2111,c,Oil and Gas Extraction,723,4672,325247,2574117
211100d,2111,d,Oil and Gas Extraction,369,4796,454425,3652786
211100e,2111,e,Oil and Gas Extraction,4565,15204,1147679,9610403
211100f,2111,f,Oil and Gas Extraction,349,12237,1465345,16145112
211100g,2111,g,Oil and Gas Extraction,108,17282,2476135,30189025
211100h,2111,h,Oil and Gas Extraction,5022,44723,5089159,55944540
211100i,2111,i,Oil and Gas Extraction,99,64262,8966019,174233122
211120a,21112,a,Crude Petroleum Extraction,4570,85169,11316600,161262281
211120b,21112,b,Crude Petroleum Extraction,3195,5171,321119,2455713
211120c,21112,c,Crude Petroleum Extraction,611,3922,276014,2113301
211120d,21112,d,Crude Petroleum Extraction,306,3955,387575,3150211
211120e,21112,e,Crude Petroleum Extraction,4112,13048,984708,7719225
211120f,21112,f,Crude Petroleum Extraction,293,9742,1168796,11797830
211120g,21112,g,Crude Petroleum Extraction,83,13145,1956633,21353243
211120h,21112,h,Crude Petroleum Extraction,4488,35935,4110137,40870298
211120i,21112,i,Crude Petroleum Extraction,82,49234,7206463,120391983
211130a,21113,a,Natural Gas Extraction,630,23816,2738578,68915381
211130b,21113,b,Natural Gas Extraction,280,565,46888,927787
211130c,21113,c,Natural Gas Extraction,114,750,49233,460816
211130d,21113,d,Natural Gas Extraction,67,841,66850,502575
211130e,21113,e,Natural Gas Extraction,461,2156,162971,1891178
211130f,21113,f,Natural Gas Extraction,75,2495,296549,4347282
211130g,21113,g,Natural Gas Extraction,34,4137,519502,8835782
211130h,21113,h,Natural Gas Extraction,570,8788,979022,15074242
211130i,21113,i,Natural Gas Extraction,60,15028,1759556,53841139
212000a,212,a,Mining (except Oil and Gas),3395,173179,12445095,85851136
212000b,212,b,Mining (except Oil and Gas),1273,2119,144695,751461
212000c,212,c,Mining (except Oil and Gas),631,4168,222379,1045902
212000d,212,d,Mining (except Oil and Gas),516,7000,398549,1870373
212000e,212,e,Mining (except Oil and Gas),2420,13287,765623,3667736
212000f,212,f,Mining (except Oil and Gas),602,20988,1301895,6625983
212000g,212,g,Mining (except Oil and Gas),215,22981,1539930,9745523
212000h,212,h,Mining (except Oil and Gas),3237,57256,3607448,20039242
212000i,212,i,Mining (except Oil and Gas),158,115923,8837647,65811894
212100a,2121,a,Coal Mining,394,50317,3940989,28063852
212100b,2121,b,Coal Mining,136,221,22446,143890
212100c,2121,c,Coal Mining,57,391,27077,166326
212100d,2121,d,Coal Mining,59,820,48584,327368
212100e,2121,e,Coal Mining,252,1432,98107,637584
212100f,2121,f,Coal Mining,81,3429,233982,1367465
212100g,2121,g,Coal Mining,26,5079,360126,2161580
212100h,2121,h,Coal Mining,359,9940,692215,4166629
212100i,2121,i,Coal Mining,35,40377,3248774,23897223
212110a,21211,a,Coal Mining,394,50317,3940989,28063852
212110b,21211,b,Coal Mining,136,221,22446,143890
212110c,21211,c,Coal Mining,57,391,27077,166326
212110d,21211,d,Coal Mining,59,820,48584,327368
212110e,21211,e,Coal Mining,252,1432,98107,637584
212110f,21211,f,Coal Mining,81,3429,233982,1367465
212110g,21211,g,Coal Mining,26,5079,360126,2161580
212110h,21211,h,Coal Mining,359,9940,692215,4166629
212110i,21211,i,Coal Mining,35,40377,3248774,23897223
212111a,212111,a,Bituminous Coal and Lignite Surface Mining,247,24018,1862768,13330754
212111b,212111,b,Bituminous Coal and Lignite Surface Mining,84,129,13341,88061
212111c,212111,c,Bituminous Coal and Lignite Surface Mining,38,254,12207,80365
212111d,212111,d,Bituminous Coal and Lignite Surface Mining,35,480,25974,208568
212111e,212111,e,Bituminous Coal and Lignite Surface Mining,157,863,51522,376994
212111f,212111,f,Bituminous Coal and Lignite Surface Mining,47,1872,126413,771532
212111g,212111,g,Bituminous Coal and Lignite Surface Mining,14,2205,143373,919846
212111h,212111,h,Bituminous Coal and Lignite Surface Mining,218,4940,321308,2068372
212111i,212111,i,Bituminous Coal and Lignite Surface Mining,29,19078,1541460,11262382
212112a,212112,a,Bituminous Coal Underground Mining,131,25604,2039200,14505001
212112b,212112,b,Bituminous Coal Underground Mining,36,62,7544,44633
212112c,212112,c,Bituminous Coal Underground Mining,10,68,12063,68776
212112d,212112,d,Bituminous Coal Underground Mining,19,273,19809,103459
212112e,212112,e,Bituminous Coal Underground Mining,65,403,39416,216868
212112f,212112,f,Bituminous Coal Underground Mining,31,1274,92092,537615
212112g,212112,g,Bituminous Coal Underground Mining,13,2628,200378,1115677
212112h,212112,h,Bituminous Coal Underground Mining,109,4305,331886,1870160
212112i,212112,i,Bituminous Coal Underground Mining,22,21299,1707314,12634841
212113a,212113,a,Anthracite Mining,39,695,39021,228097
212113b,212113,b,Anthracite Mining,16,30,1561,11196
212113c,212113,c,Anthracite Mining,10,69,2807,17185
212113d,212113,d,Anthracite Mining,5,67,2801,15341
212113e,212113,e,Anthracite Mining,31,166,7169,43722
212113f,212113,f,Anthracite Mining,5,283,15477,58318
212113g,212113,g,Anthracite Mining,3,246,16375,126057
212113h,212113,h,Anthracite Mining,39,695,39021,228097
212200a,2122,a,Metal Ore Mining,237,36761,3110397,27071262
212200b,2122,b,Metal Ore Mining,116,139,18278,69218
212200c,2122,c,Metal Ore Mining,37,237,28832,110351
212200d,2122,d,Metal Ore Mining,21,288,26068,73004
212200e,2122,e,Metal Ore Mining,174,664,73178,252573
212200f,2122,f,Metal Ore Mining,24,965,71066,403558
212200g,2122,g,Metal Ore Mining,18,3813,338934,2979404
212200h,2122,h,Metal Ore Mining,216,5442,483178,3635535
212200i,2122,i,Metal Ore Mining,21,31319,2627219,23435727
212210a,21221,a,Iron Ore Mining,11,4685,404731,3241983
212210e,21221,e,Iron Ore Mining,4,33,2530,13774
212210f,21221,f,Iron Ore Mining,3,136,10705,22721
212210h,21221,h,Iron Ore Mining,8,183,14028,49339
212210i,21221,i,Iron Ore Mining,3,4502,390703,3192644
212220a,21222,a,Gold Ore and Silver Ore Mining,157,14298,1425248,10047838
212220b,21222,b,Gold Ore and Silver Ore Mining,92,103,12511,41523
212220c,21222,c,Gold Ore and Silver Ore Mining,28,175,20515,86684
212220d,21222,d,Gold Ore and Silver Ore Mining,12,159,13686,34127
212220e,21222,e,Gold Ore and Silver Ore Mining,132,437,46712,162334
212220f,21222,f,Gold Ore and Silver Ore Mining,11,446,29619,226954
212220g,21222,g,Gold Ore and Silver Ore Mining,8,2246,219134,1270836
212220h,21222,h,Gold Ore and Silver Ore Mining,151,3129,295465,1660124
212220i,21222,i,Gold Ore and Silver Ore Mining,6,11169,1129783,8387714
212221a,212221,a,Gold Ore Mining,147,13170,1313544,9546959
212221b,212221,b,Gold Ore Mining,90,102,12162,41523
212221c,212221,c,Gold Ore Mining,26,161,19557,79825
212221d,212221,d,Gold Ore Mining,9,114,10724,34127
212221e,212221,e,Gold Ore Mining,125,377,42443,155475
212221f,212221,f,Gold Ore Mining,10,420,27416,226954
212221g,212221,g,Gold Ore Mining,7,2026,205382,1234534
212221h,212221,h,Gold Ore Mining,142,2823,275241,1616963
212221i,212221,i,Gold Ore Mining,5,10347,1038303,7929996
212222a,212222,a,Silver Ore Mining,11,1128,111704,500879
212222d,212222,d,Silver Ore Mining,3,45,2962,0
212222e,212222,e,Silver Ore Mining,7,60,4269,6859
212222h,212222,h,Silver Ore Mining,9,306,20224,43161
212230a,21223,a,"Copper, Nickel, Lead, and Zinc Mining",41,14678,1019834,12665950
212230b,21223,b,"Copper, Nickel, Lead, and Zinc Mining",11,23,1791,16803
212230c,21223,c,"Copper, Nickel, Lead, and Zinc Mining",6,46,6983,18288
212230d,21223,d,"Copper, Nickel, Lead, and Zinc Mining",6,90,9366,30635
212230e,21223,e,"Copper, Nickel, Lead, and Zinc Mining",23,159,18140,65726
212230f,21223,f,"Copper, Nickel, Lead, and Zinc Mining",3,131,11763,12622
212230g,21223,g,"Copper, Nickel, Lead, and Zinc Mining",5,1114,85066,1440062
212230h,21223,h,"Copper, Nickel, Lead, and Zinc Mining",31,1404,114969,1518410
212230i,21223,i,"Copper, Nickel, Lead, and Zinc Mining",10,13274,904865,11147540
212290a,21229,a,Other Metal Ore Mining,31,3100,260584,1115491
212290b,21229,b,Other Metal Ore Mining,12,13,3283,10739
212290e,21229,e,Other Metal Ore Mining,15,35,5796,10739
212290f,21229,f,Other Metal Ore Mining,7,252,18979,141261
212290g,21229,g,Other Metal Ore Mining,5,439,33941,255662
212290h,21229,h,Other Metal Ore Mining,27,726,58716,407662
212290i,21229,i,Other Metal Ore Mining,4,0,0,0
212291a,212291,a,Uranium-Radium-Vanadium Ore Mining,14,415,33691,183446
212291b,212291,b,Uranium-Radium-Vanadium Ore Mining,5,7,897,1957
212291e,212291,e,Uranium-Radium-Vanadium Ore Mining,6,12,1596,1957
212291f,212291,f,Uranium-Radium-Vanadium Ore Mining,5,163,13220,96142
212291h,212291,h,Uranium-Radium-Vanadium Ore Mining,13,410,33519,183015
212299a,212299,a,All Other Metal Ore Mining,17,2685,226893,932045
212299b,212299,b,All Other Metal Ore Mining,7,6,2386,8782
212299e,212299,e,All Other Metal Ore Mining,9,23,4200,8782
212299g,212299,g,All Other Metal Ore Mining,3,204,15238,170746
212299h,212299,h,All Other Metal Ore Mining,14,316,25197,224647
212299i,212299,i,All Other Metal Ore Mining,3,0,0,0
212300a,2123,a,Nonmetallic Mineral Mining and Quarrying,2774,86101,5393709,30716022
212300b,2123,b,Nonmetallic Mineral Mining and Quarrying,1021,1759,103971,538353
212300c,2123,c,Nonmetallic Mineral Mining and Quarrying,538,3540,166470,769225
212300d,2123,d,Nonmetallic Mineral Mining and Quarrying,436,5892,323897,1470001
212300e,2123,e,Nonmetallic Mineral Mining and Quarrying,1995,11191,594338,2777579
212300f,2123,f,Nonmetallic Mineral Mining and Quarrying,499,16594,996847,4854960
212300g,2123,g,Nonmetallic Mineral Mining and Quarrying,172,14089,840870,4604539
212300h,2123,h,Nonmetallic Mineral Mining and Quarrying,2666,41874,2432055,12237078
